"ensembl_gene_id"	"external_gene_name"	"hgnc_symbol"	"mgi_symbol"
"208"	"ENSMUSG00000025967"	"Eef1b2"	""	"Eef1b2"
"209"	"ENSMUSG00000025968"	"Ndufs1"	""	"Ndufs1"
"210"	"ENSMUSG00000025969"	"Nrp2"	""	"Nrp2"
"211"	"ENSMUSG00000025971"	"Maip1"	""	"Maip1"
"212"	"ENSMUSG00000025977"	"Boll"	""	"Boll"
"213"	"ENSMUSG00000025978"	"Rftn2"	""	"Rftn2"
"214"	"ENSMUSG00000025979"	"Mob4"	""	"Mob4"
"215"	"ENSMUSG00000025980"	"Hspd1"	""	"Hspd1"
"216"	"ENSMUSG00000025981"	"Coq10b"	""	"Coq10b"
"217"	"ENSMUSG00000025982"	"Sf3b1"	""	"Sf3b1"
"218"	"ENSMUSG00000025983"	"Ccdc150"	""	"Ccdc150"
"219"	"ENSMUSG00000025986"	"Slc39a10"	""	"Slc39a10"
"220"	"ENSMUSG00000025991"	"Cps1"	""	"Cps1"
"221"	"ENSMUSG00000025993"	"Slc40a1"	""	"Slc40a1"
"222"	"ENSMUSG00000025995"	"Wdr75"	""	"Wdr75"
"223"	"ENSMUSG00000025997"	"Ikzf2"	""	"Ikzf2"
"224"	"ENSMUSG00000026000"	"Lancl1"	""	"Lancl1"
"225"	"ENSMUSG00000026003"	"Acadl"	""	"Acadl"
"226"	"ENSMUSG00000026004"	"Kansl1l"	""	"Kansl1l"
"227"	"ENSMUSG00000026005"	"Rpe"	""	"Rpe"
"228"	"ENSMUSG00000026009"	"Icos"	""	"Icos"
"229"	"ENSMUSG00000026011"	"Ctla4"	""	"Ctla4"
"230"	"ENSMUSG00000026012"	"Cd28"	""	"Cd28"
"231"	"ENSMUSG00000026014"	"Raph1"	""	"Raph1"
"232"	"ENSMUSG00000026017"	"Carf"	""	"Carf"
"233"	"ENSMUSG00000026018"	"Ica1l"	""	"Ica1l"
"234"	"ENSMUSG00000026019"	"Wdr12"	""	"Wdr12"
"235"	"ENSMUSG00000026020"	"Nop58"	""	"Nop58"
"236"	"ENSMUSG00000026021"	"Sumo1"	""	"Sumo1"
"237"	"ENSMUSG00000026023"	"Cdk15"	""	"Cdk15"
"238"	"ENSMUSG00000026024"	"Als2"	""	"Als2"
"239"	"ENSMUSG00000026027"	"Stradb"	""	"Stradb"
"240"	"ENSMUSG00000026028"	"Trak2"	""	"Trak2"
"241"	"ENSMUSG00000026029"	"Casp8"	""	"Casp8"
"242"	"ENSMUSG00000026031"	"Cflar"	""	"Cflar"
"243"	"ENSMUSG00000026032"	"Ndufb3"	""	"Ndufb3"
"244"	"ENSMUSG00000026034"	"Clk1"	""	"Clk1"
"245"	"ENSMUSG00000026035"	"Ppil3"	""	"Ppil3"
"246"	"ENSMUSG00000026036"	"Nif3l1"	""	"Nif3l1"
"247"	"ENSMUSG00000026037"	"Orc2"	""	"Orc2"
"248"	"ENSMUSG00000026039"	"Sgo2a"	""	"Sgo2a"
"249"	"ENSMUSG00000026042"	"Col5a2"	""	"Col5a2"
"250"	"ENSMUSG00000026043"	"Col3a1"	""	"Col3a1"
"251"	"ENSMUSG00000026047"	"Poglut2"	""	"Poglut2"
"252"	"ENSMUSG00000026048"	"Ercc5"	""	"Ercc5"
"253"	"ENSMUSG00000026049"	"Tex30"	""	"Tex30"
"254"	"ENSMUSG00000026051"	"Ecrg4"	""	"Ecrg4"
"255"	"ENSMUSG00000026058"	"Khdrbs2"	""	"Khdrbs2"
"256"	"ENSMUSG00000026062"	"Slc9a2"	""	"Slc9a2"
"257"	"ENSMUSG00000026063"	"Dnaaf6"	""	"Dnaaf6"
"258"	"ENSMUSG00000026064"	"Ptp4a1"	""	"Ptp4a1"
"259"	"ENSMUSG00000026065"	"Slc9a4"	""	"Slc9a4"
"260"	"ENSMUSG00000026068"	"Il18rap"	""	"Il18rap"
"261"	"ENSMUSG00000026069"	"Il1rl1"	""	"Il1rl1"
"262"	"ENSMUSG00000026070"	"Il18r1"	""	"Il18r1"
"263"	"ENSMUSG00000026072"	"Il1r1"	""	"Il1r1"
"264"	"ENSMUSG00000026073"	"Il1r2"	""	"Il1r2"
"265"	"ENSMUSG00000026074"	"Map4k4"	""	"Map4k4"
"266"	"ENSMUSG00000026077"	"Npas2"	""	"Npas2"
"267"	"ENSMUSG00000026078"	"Pdcl3"	""	"Pdcl3"
"268"	"ENSMUSG00000026080"	"Chst10"	""	"Chst10"
"269"	"ENSMUSG00000026082"	"Rev1"	""	"Rev1"
"270"	"ENSMUSG00000026083"	"Eif5b"	""	"Eif5b"
"271"	"ENSMUSG00000026085"	"Lyg1"	""	"Lyg1"
"272"	"ENSMUSG00000026087"	"Mrpl30"	""	"Mrpl30"
"273"	"ENSMUSG00000026088"	"Mitd1"	""	"Mitd1"
"274"	"ENSMUSG00000026090"	"Cracdl"	""	"Cracdl"
"275"	"ENSMUSG00000026094"	"Stk17b"	""	"Stk17b"
"276"	"ENSMUSG00000026095"	"Asnsd1"	""	"Asnsd1"
"277"	"ENSMUSG00000026096"	"Osgepl1"	""	"Osgepl1"
"278"	"ENSMUSG00000026097"	"Ormdl1"	""	"Ormdl1"
"279"	"ENSMUSG00000026098"	"Pms1"	""	"Pms1"
"280"	"ENSMUSG00000026100"	"Mstn"	""	"Mstn"
"281"	"ENSMUSG00000026102"	"Inpp1"	""	"Inpp1"
"282"	"ENSMUSG00000026103"	"Gls"	""	"Gls"
"283"	"ENSMUSG00000026104"	"Stat1"	""	"Stat1"
"284"	"ENSMUSG00000026107"	"Nabp1"	""	"Nabp1"
"285"	"ENSMUSG00000026109"	"Tmeff2"	""	"Tmeff2"
"286"	"ENSMUSG00000026110"	"Mgat4a"	""	"Mgat4a"
"287"	"ENSMUSG00000026111"	"Unc50"	""	"Unc50"
"288"	"ENSMUSG00000026112"	"Coa5"	""	"Coa5"
"289"	"ENSMUSG00000026113"	"Inpp4a"	""	"Inpp4a"
"290"	"ENSMUSG00000026114"	"Cnga3"	""	"Cnga3"
"291"	"ENSMUSG00000026116"	"Tmem131"	""	"Tmem131"
"292"	"ENSMUSG00000026117"	"Zap70"	""	"Zap70"
"293"	"ENSMUSG00000026121"	"Sema4c"	""	"Sema4c"
"294"	"ENSMUSG00000026123"	"Plekhb2"	""	"Plekhb2"
"295"	"ENSMUSG00000026124"	"Cfc1"	""	"Cfc1"
"296"	"ENSMUSG00000026125"	"Prss39"	""	"Prss39"
"297"	"ENSMUSG00000026126"	"Ptpn18"	""	"Ptpn18"
"298"	"ENSMUSG00000026127"	"Imp4"	""	"Imp4"
"299"	"ENSMUSG00000026131"	"Dst"	""	"Dst"
"300"	"ENSMUSG00000026134"	"Prim2"	""	"Prim2"
"301"	"ENSMUSG00000026135"	"Zfp142"	""	"Zfp142"
"302"	"ENSMUSG00000026141"	"Col19a1"	""	"Col19a1"
"303"	"ENSMUSG00000026142"	"Rhbdd1"	""	"Rhbdd1"
"304"	"ENSMUSG00000026147"	"Col9a1"	""	"Col9a1"
"305"	"ENSMUSG00000026149"	"Tm4sf20"	""	"Tm4sf20"
"306"	"ENSMUSG00000026150"	"Mff"	""	"Mff"
"307"	"ENSMUSG00000026153"	"Fam135a"	""	"Fam135a"
"308"	"ENSMUSG00000026154"	"Sdhaf4"	""	"Sdhaf4"
"309"	"ENSMUSG00000026155"	"Smap1"	""	"Smap1"
"310"	"ENSMUSG00000026156"	"B3gat2"	""	"B3gat2"
"311"	"ENSMUSG00000026158"	"Ogfrl1"	""	"Ogfrl1"
"312"	"ENSMUSG00000026159"	"Agfg1"	""	"Agfg1"
"313"	"ENSMUSG00000026162"	"Nhej1"	""	"Nhej1"
"314"	"ENSMUSG00000026163"	"Sphkap"	""	"Sphkap"
"315"	"ENSMUSG00000026166"	"Ccl20"	""	"Ccl20"
"316"	"ENSMUSG00000026167"	"Wnt10a"	""	"Wnt10a"
"317"	"ENSMUSG00000026170"	"Cyp27a1"	""	"Cyp27a1"
"318"	"ENSMUSG00000026171"	"Rnf25"	""	"Rnf25"
"319"	"ENSMUSG00000026172"	"Bcs1l"	""	"Bcs1l"
"320"	"ENSMUSG00000026173"	"Plcd4"	""	"Plcd4"
"321"	"ENSMUSG00000026174"	"Cnot9"	""	"Cnot9"
"322"	"ENSMUSG00000026175"	"Vil1"	""	"Vil1"
"323"	"ENSMUSG00000026176"	"Ctdsp1"	""	"Ctdsp1"
"324"	"ENSMUSG00000026177"	"Slc11a1"	""	"Slc11a1"
"325"	"ENSMUSG00000026179"	"Pnkd"	""	"Pnkd"
"326"	"ENSMUSG00000026180"	"Cxcr2"	""	"Cxcr2"
"327"	"ENSMUSG00000026182"	"Tnp1"	""	"Tnp1"
"328"	"ENSMUSG00000026185"	"Igfbp5"	""	"Igfbp5"
"329"	"ENSMUSG00000026187"	"Xrcc5"	""	"Xrcc5"
"330"	"ENSMUSG00000026188"	"Tmem169"	""	"Tmem169"
"331"	"ENSMUSG00000026189"	"Pecr"	""	"Pecr"
"332"	"ENSMUSG00000026192"	"Atic"	""	"Atic"
"333"	"ENSMUSG00000026193"	"Fn1"	""	"Fn1"
"334"	"ENSMUSG00000026196"	"Bard1"	""	"Bard1"
"335"	"ENSMUSG00000026197"	"Zfand2b"	""	"Zfand2b"
"336"	"ENSMUSG00000026198"	"Abcb6"	""	"Abcb6"
"337"	"ENSMUSG00000026199"	"Ankzf1"	""	"Ankzf1"
"338"	"ENSMUSG00000026200"	"Glb1l"	""	"Glb1l"
"339"	"ENSMUSG00000026201"	"Stk16"	""	"Stk16"
"340"	"ENSMUSG00000026202"	"Tuba4a"	""	"Tuba4a"
"341"	"ENSMUSG00000026203"	"Dnajb2"	""	"Dnajb2"
"342"	"ENSMUSG00000026204"	"Ptprn"	""	"Ptprn"
"343"	"ENSMUSG00000026205"	"Slc23a3"	""	"Slc23a3"
"344"	"ENSMUSG00000026207"	"Speg"	""	"Speg"
"345"	"ENSMUSG00000026208"	"Des"	""	"Des"
"346"	"ENSMUSG00000026209"	"Dnpep"	""	"Dnpep"
"347"	"ENSMUSG00000026211"	"Obsl1"	""	"Obsl1"
"348"	"ENSMUSG00000026213"	"Stk11ip"	""	"Stk11ip"
"349"	"ENSMUSG00000026219"	"Trip12"	""	"Trip12"
"350"	"ENSMUSG00000026220"	"Slc16a14"	""	"Slc16a14"
"351"	"ENSMUSG00000026222"	"Sp100"	""	"Sp100"
"352"	"ENSMUSG00000026223"	"Itm2c"	""	"Itm2c"
"353"	"ENSMUSG00000026224"	"4933407L21Rik"	""	"4933407L21Rik"
"354"	"ENSMUSG00000026226"	"Spata3"	""	"Spata3"
"355"	"ENSMUSG00000026227"	"2810459M11Rik"	""	"2810459M11Rik"
"356"	"ENSMUSG00000026228"	"Htr2b"	""	"Htr2b"
"357"	"ENSMUSG00000026229"	"Psmd1"	""	"Psmd1"
"358"	"ENSMUSG00000026234"	"Ncl"	""	"Ncl"
"359"	"ENSMUSG00000026235"	"Epha4"	""	"Epha4"
"360"	"ENSMUSG00000026237"	"Nmur1"	""	"Nmur1"
"361"	"ENSMUSG00000026238"	"Ptma"	""	"Ptma"
"362"	"ENSMUSG00000026239"	"Pde6d"	""	"Pde6d"
"363"	"ENSMUSG00000026240"	"Cops7b"	""	"Cops7b"
