TF	Target
NFKB1	Tubgcp6
NFKB2	Tubgcp6
NFKB	Tubgcp6
NFKB	Tufm
RELA	Tut1
NFKB1	Tut1
NFKB	Tut1
NFKB2	Tut1
RELA	Twistnb
REL	Twistnb
NFKB	Twistnb
NFKB2	Twsg1
NFKB1	Twsg1
NFKB	Twsg1
RELA	Twsg1
REL	Twsg1
REL	Txn2
RELA	Txn2
NFKB	Txn2
NFKB	Txndc12
REL	Tyw1
NFKB	Tyw1
REL	Tyw1
NFKB1	Tyw1
NFKB	U2af1
NFKB1	U2af1
REL	U2af1
NFKB	Uaca
NFKB1	Uaca
NFKB	Uap1
NFKB1	Uba52
NFKB	Uba52
NFKB1	Ubald2
NFKB	Ubald2
NFKB1	Ube2e2
NFKB	Ube2e2
NFKB	Ube2f
NFKB1	Ube2f
NFKB1	Ube2h
RELA	Ube2h
REL	Ube2h
NFKB	Ube2h
NFKB	Ube2i
NFKB	Ube2l6
NFKB2	Ube2l6
NFKB1	Ube2l6
NFKB	Ube2o
NFKB	Ube2q2
NFKB	Ube3c
REL	Ube3c
RELA	Ube3c
NFKB	Ube4a
NFKB2	Ube4a
NFKB	Ube4b
NFKB1	Ube4b
NFKB	Ubl3
NFKB	Ublcp1
RELA	Ubqln4
NFKB2	Ubqln4
NFKB	Ubqln4
NFKB2	Ubxn1
NFKB1	Ubxn1
NFKB	Ubxn1
RELA	Ubxn1
REL	Ubxn11
RELA	Ubxn11
NFKB	Ubxn11
RELA	Ubxn4
NFKB2	Ubxn4
NFKB	Ubxn4
NFKB	Uevld
RELA	Uevld
NFKB	Unc119
RELA	Unc119
NFKB	Unc119b
REL	Unc13d
RELA	Unc13d
NFKB	Unc13d
NFKB	Unk
NFKB	Upf1
NFKB1	Upf1
NFKB1	Uqcr11
NFKB	Uqcr11
NFKB	Urb2
RELA	Urb2
REL	Urb2
RELA	Usp16
NFKB	Usp16
NFKB	Usp2
NFKB	Usp22
NFKB	Usp24
REL	Usp37
RELA	Usp37
NFKB	Usp37
NFKB	Usp45
NFKB	Uvrag
RELA	Uxs1
REL	Uxs1
NFKB	Uxs1
NFKB1	Vamp2
REL	Vamp2
NFKB	Vamp2
NFKB2	Vamp2
RELA	Vapa
NFKB2	Vapa
NFKB	Vapa
REL	Vapa
NFKB	Vars2
NFKB	Vasp
NFKB	Vav3
REL	Vav3
RELA	Vav3
NFKB1	Vav3
NFKB	Vbp1
NFKB	Vcam1
NFKB1	Vcl
NFKB	Vcl
NFKB1	Vegfa
NFKB	Vegfa
NFKB2	Vegfa
RELA	Vegfa
REL	Vegfa
REL	Vim
NFKB1	Vim
NFKB	Vim
RELA	Vim
RELA	Vipas39
NFKB	Vipas39
NFKB1	Vipas39
REL	Vipas39
NFKB	Vkorc1
NFKB1	Vkorc1
NFKB	Vps11
NFKB	Vps28
NFKB	Vps53
NFKB	Vwa8
REL	Vwa8
RELA	Vwa8
NFKB	Vwf
RELA	Wbp1l
NFKB	Wbp1l
NFKB	Wbp2
NFKB2	Wdhd1
NFKB	Wdhd1
NFKB1	Wdhd1
REL	Wdr18
NFKB	Wdr18
RELA	Wdr18
NFKB	Wdr19
RELA	Wdr25
REL	Wdr25
NFKB	Wdr25
NFKB1	Wdr43
REL	Wdr43
NFKB2	Wdr43
RELA	Wdr43
NFKB	Wdr43
NFKB	Wdr44
NFKB	Wdr45b
NFKB1	Wdr45b
NFKB	Wdr5b
REL	Wdr73
RELA	Wdr73
NFKB	Wdr73
NFKB1	Wdr74
NFKB	Wdr74
NFKB2	Wdr74
RELA	Wdr74
NFKB	Wdr78
REL	Wdr83
RELA	Wdr83
NFKB	Wdr83
NFKB	Wdr92
REL	Wdr92
NFKB1	Wdr92
RELA	Wdr92
RELA	Wee1
NFKB	Wee1
REL	Wee1
REL	Wipf2
RELA	Wipf2
NFKB	Wipf2
NFKB1	Wipf2
NFKB2	Wipf2
REL	Wrap53
NFKB2	Wrap53
NFKB1	Wrap53
NFKB	Wrap53
NFKB2	Xpa
NFKB	Xpa
REL	Xpa
RELA	Xpa
NFKB1	Xpa
NFKB	Xpnpep1
RELA	Xpnpep1
NFKB	Xpo5
NFKB1	Xpo5
NFKB2	Xpo5
NFKB	Yaf2
NFKB	Ybey
NFKB	Ywhae
NFKB	Yy1
REL	Yy1
RELA	Yy1
RELA	Gon4l
NFKB	Gon4l
NFKB2	Gon4l
NFKB1	Zbed4
NFKB2	Zbed4
NFKB	Zbed4
RELA	Zbtb1
REL	Zbtb1
NFKB	Zbtb1
NFKB	Zbtb17
REL	Zbtb25
RELA	Zbtb25
NFKB	Zbtb25
NFKB1	Zbtb3
NFKB	Zbtb3
NFKB2	Zbtb3
RELA	Zbtb3
NFKB1	Zbtb4
NFKB	Zbtb4
NFKB2	Zbtb4
REL	Zbtb4
NFKB1	Zbtb46
NFKB	Zbtb46
RELA	Zbtb5
NFKB2	Zbtb5
REL	Zbtb5
NFKB1	Zbtb5
NFKB	Zbtb5
NFKB	Zbtb8a
NFKB	Zbtb8os
RELA	Zbtb9
REL	Zbtb9
NFKB	Zbtb9
NFKB2	Zc3h11a
NFKB	Zc3h11a
REL	Zc3h11a
RELA	Zc3h11a
NFKB1	Zc3h11a
RELA	Zc3h18
NFKB	Zc3h18
NFKB2	Zc3h18
REL	Zc3h18
NFKB1	Zc3h18
NFKB2	Zc3h7b
NFKB	Zc3h7b
NFKB1	Zc3h7b
NFKB2	Zcchc24
RELA	Zcchc24
NFKB	Zcchc24
REL	Zcchc24
NFKB1	Zcchc24
NFKB2	Zcchc7
REL	Zcchc7
RELA	Zcchc7
NFKB1	Zcchc7
NFKB	Zcchc7
RELA	Zdhhc14
NFKB2	Zdhhc14
NFKB	Zdhhc14
NFKB1	Zdhhc14
REL	Zdhhc14
REL	Zdhhc18
RELA	Zdhhc18
NFKB	Zdhhc18
NFKB	Zdhhc21
NFKB	Zeb1
NFKB1	Zeb1
NFKB	Zfand2b
RELA	Zfand2b
REL	Zfand2b
NFKB1	Zfand6
NFKB	Zfand6
NFKB2	Zfand6
NFKB1	Zfp36
NFKB	Zfp36
NFKB	Zfp36l2
RELA	Zfp36l2
NFKB1	Zfp36l2
NFKB2	Zfp36l2
NFKB	Zfp62
NFKB	Zfp90
NFKB	Zfpm1
NFKB1	Zfpm1
NFKB2	Zfpm1
NFKB	Zfyve9
NFKB1	Zfyve9
NFKB	Zhx1
RELA	Zhx2
REL	Zhx2
NFKB	Zhx2
NFKB2	Zmiz1
NFKB	Zmiz1
NFKB1	Zmiz1
REL	Zmiz1
RELA	Zmiz1
NFKB1	Znrf1
NFKB	Znrf1
NFKB2	Znrf1
NFKB	Zpbp
RELA	Zpbp
NFKB	Zscan12
NFKB	Zscan29
NFKB1	Zscan29
NFKB	Zswim1
RELA	Zswim1
NFKB1	Zswim1
NFKB2	Zswim4
NFKB1	Zswim4
NFKB	Zswim4
NFKB	Zfp362
NFKB	Zfp593
NFKB	Grrp1
NFKB	Zfp644
NFKB	2900026A02Rik
NFKB	2810006K23Rik
NFKB	Zfp664
NFKB	Dars
NFKB	Gm5580
NFKB	Zfp422
NFKB	Zfp384
NFKB	Gm8994
NFKB	Pirb
NFKB	Pira2
NFKB	Gm14548
NFKB	Lilra6
NFKB	Zfp667
NFKB	Zfp78
NFKB	Zfp324
NFKB	Supt5
NFKB	Zfp383
NFKB	Zfp658
NFKB	1700025G04Rik
NFKB	Zfp143
NFKB	Il4ra
NFKB	Zfp553
NFKB	Zfp771
NFKB	Zfp768
NFKB	Zfp764
NFKB	E430018J23Rik
NFKB	Zfp689
NFKB	Zfp629
NFKB	Stx4a
NFKB	Zfp668
NFKB	Zfp646
NFKB	Mapk1ip1
NFKB	Ifitm2
NFKB	Ifitm3
NFKB	Ifitm6
NFKB	Rwdd4a
NFKB	1700030K09Rik
NFKB	Zfp827
NFKB	4930432K21Rik
NFKB	D8Ertd738e
NFKB	Dnase2a
NFKB	Mt1
NFKB	9530077C05Rik
NFKB	H2afx
NFKB	1700017B05Rik
NFKB	2300009A05Rik
NFKB	Ick
NFKB	Mthfsl
NFKB	Bcl2a1d
NFKB	Bcl2a1b
NFKB	Csl
NFKB	Pttg1
NFKB	Gm12184
NFKB	Slc22a21
NFKB	Trp53
NFKB	Supt6
NFKB	2610507B11Rik
NFKB	Ccl9
NFKB	Ccl6
NFKB	Cdc34b
NFKB	Mettl2
NFKB	H3f3b
NFKB	Hmga1b
NFKB	Zfp451
NFKB	Elmsan1
NFKB	Wars
NFKB	Bmyc
NFKB	Hist1h2bm
NFKB	Hist1h4h
NFKB	BC005537
NFKB	Zfp712
NFKB	Zfp759
NFKB	Zfp458
NFKB	Zfp459
NFKB	Zfp748
NFKB	Zfp729b
NFKB	Zfp729a
NFKB	Golga2
NFKB	1110008P14Rik
NFKB	Supt16
NFKB	Zfp622
NFKB	9130401M01Rik
NFKB	Fam49b
NFKB	Apol7e
NFKB	Csf2rb2
NFKB	H1f0
NFKB	Serhl
NFKB	Ifitm7
NFKB	Mzt2
NFKB	Iglc1
NFKB	Iglc2
NFKB	Bex6
NFKB	Zfp148
NFKB	Dynlt1a
NFKB	Dynlt1b
NFKB	Dynlt1c
NFKB	Dynlt1f
NFKB	Rsph3b
NFKB	Tagap1
NFKB	Rsph3a
NFKB	Kifc5b
NFKB	BC004004
NFKB	Gm28043
NFKB	Zfp763
NFKB	H2-Q5
NFKB	Tubb5
NFKB	2310061I04Rik
NFKB	H2-T24
NFKB	Supt3
NFKB	Zfp438
NFKB	Snhg4
NFKB	Matr3
NFKB	Tmem173
NFKB	Ube2d2a
NFKB	Ier3ip1
NFKB	Lrp5
NFKB	Stx5a
NFKB	D030056L22Rik
NFKB	1110051M20Rik
NFKB	5430427O19Rik
NFKB	Eif2s3x
NFKB	Ormdl1
NFKB	Zfp217
NFKB	D3Ertd751e
NFKB	Bglap2
NFKB	Zfp142
NFKB	Tmem246

