TF	Target
NFKB	Erlin2
NFKB	Esr1
NFKB1	Etf1
NFKB	Etf1
REL	Etv6
NFKB	Etv6
NFKB2	Etv6
NFKB1	Etv6
RELA	Etv6
RELA	Evl
REL	Evl
NFKB	Evl
NFKB	Evpl
NFKB	Exoc2
NFKB	Exoc4
NFKB	Exoc7
NFKB	Ezr
NFKB	F13a1
RELA	F13a1
REL	F13a1
NFKB	Fads3
NFKB1	Fads3
NFKB	Fah
NFKB1	Fah
NFKB2	Fah
REL	Fam102b
NFKB	Fam102b
RELA	Fam102b
NFKB1	Fam102b
NFKB	Fam110a
NFKB2	Fam110a
RELA	Fam110a
REL	Fam110a
NFKB2	Fam111a
RELA	Fam111a
REL	Fam111a
NFKB	Fam111a
REL	Fam114a1
RELA	Fam114a1
NFKB	Fam114a1
NFKB	Fam131a
NFKB	Fam13b
NFKB1	Fam13b
NFKB	Fam204a
NFKB1	Fam204a
RELA	Fam222b
NFKB	Fam222b
NFKB	Fam32a
NFKB1	Fam53c
NFKB	Fam53c
NFKB	Fam78a
RELA	Fam83d
NFKB	Fam83d
NFKB	Farsa
RELA	Farsa
REL	Farsa
NFKB	Fbf1
NFKB	Fbl
NFKB1	Fbl
NFKB	Fblim1
RELA	Fbln2
NFKB	Fbln2
REL	Fbln2
NFKB	Fbrs
NFKB1	Fbrs
NFKB	Fbxl15
RELA	Fbxl15
NFKB	Fbxl19
NFKB1	Fbxl19
REL	Fbxl20
NFKB	Fbxl20
RELA	Fbxl20
NFKB2	Fbxl6
NFKB1	Fbxl6
NFKB	Fbxl6
NFKB	Fbxo22
NFKB	Fbxo25
NFKB1	Fbxo25
NFKB1	Fbxo27
NFKB	Fbxo27
NFKB1	Fbxo34
NFKB2	Fbxo34
NFKB	Fbxo34
NFKB1	Fbxo48
NFKB	Fbxo48
REL	Fbxo48
NFKB2	Fbxo48
RELA	Fbxo48
NFKB	Fbxo9
RELA	Fbxw9
REL	Fbxw9
NFKB	Fbxw9
REL	Fcho1
NFKB	Fcho1
RELA	Fcho1
RELA	Fchsd2
REL	Fchsd2
NFKB1	Fchsd2
NFKB	Fchsd2
NFKB	Fdps
NFKB	Fgd2
REL	Fgd2
RELA	Fgd2
NFKB	Fggy
NFKB1	Fibp
NFKB	Fibp
NFKB	Fignl1
RELA	Fignl1
RELA	Fjx1
REL	Fjx1
NFKB	Fjx1
NFKB	Fkbp2
NFKB	Fkbp8
NFKB1	Fkbp8
NFKB	Flot1
RELA	Flot2
NFKB	Flot2
RELA	Fn3k
NFKB	Fn3k
NFKB1	Fn3k
REL	Fn3k
NFKB1	Fn3krp
REL	Fn3krp
NFKB	Fn3krp
RELA	Fn3krp
NFKB	Fnbp4
RELA	Fnbp4
REL	Fnbp4
RELA	Fndc3b
NFKB	Fndc3b
NFKB1	Fndc3b
REL	Fndc3b
NFKB1	Fnip1
NFKB	Fnip1
REL	Fnip1
NFKB2	Fosl2
NFKB1	Fosl2
NFKB	Fosl2
REL	Fosl2
RELA	Fosl2
NFKB	Foxj2
REL	Foxk2
NFKB	Foxk2
NFKB1	Foxk2
NFKB2	Foxn3
NFKB	Foxn3
REL	Foxred2
NFKB	Foxred2
RELA	Foxred2
NFKB	Fpgs
REL	Frg1
NFKB	Frg1
RELA	Frg1
NFKB	Fry
RELA	Fry
NFKB	Fsd1l
REL	Fsd1l
RELA	Fsd1l
NFKB	Fut8
NFKB1	Fxr2
REL	Fxr2
NFKB	Fxr2
NFKB2	Fxr2
NFKB1	Fzd5
NFKB	Fzd5
NFKB	Fzd9
NFKB	G3bp2
NFKB1	G3bp2
NFKB1	Gaa
NFKB	Gaa
NFKB	Gab3
NFKB1	Gab3
REL	Gadd45b
NFKB	Gadd45b
NFKB1	Gadd45b
RELA	Gadd45b
REL	Gadd45gip1
RELA	Gadd45gip1
